,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
AAC,Acute Angle Cloud,ECC 256K1,DPOS,1000000000.0,-1.0
ACT,Achain,DPoS,DPoS,1000000000.0,0.0
ADA,Cardano,Ouroboros,PoS,32044653310.750854,45000000000.0
ADK,Aidos Kuneen,IMesh,PoW,25000000.0,0.0
AEON,AEON,CryptoNight-Lite,PoW,17833868.24470811,-1.0
AION,Aion,"Equihash210,9",PoW/PoS,492427074.0,-1.0
AMB,Amber,Dagger,PoA,708862631.0,-1.0
AR,Arweave,SHA-256,PoW,64109640.07829327,66000000.0
ARK,ARK,DPoS,DPoS,156777512.00000003,-1.0
AUR,Auroracoin,Scrypt,PoW/PoS,19208237.49295899,21000000.0
BCD,Bitcoin Diamond,X13,PoW/PoS,199970687.5,210000000.0
BCH,Bitcoin Cash,SHA-256,PoW,18715087.39678951,20999999.9769
BCHA,Bitcoin ABC,SHA-256,PoW,18705964.64678941,20999999.9769
BCN,ByteCoin,CryptoNight,PoW,184467440737.09552,184470000000.0
BDX,Beldex,CryptoNight,PoW,1400222610.0,-1.0
BEAM,Beam,Equihash,PoW,69115663.72336674,262800000.0
BLK,BlackCoin,Scrypt,PoS,60613996.84647821,100000000.0
BLOCK,BlockNet,Quark,PoW/PoS,7619433.86531109,-1.0
BNB,Binance Coin,BEP-2,PoSA,169433763.9,169433763.9
BSV,Bitcoin SV,SHA-256,PoW,18712007.89423905,20999999.9769
BTC,Bitcoin,SHA-256,PoW,18687912.0,20999999.9769
BTCP,Bitcoin Private,Equihash,PoW,3818878.3878015447,22873588.0
BTCVT,Bitcoin Vault,SHA-256,PoW,12241374.99999982,21000000.0
BTCZ,BitcoinZ,Equihash,PoW,9245971905.054018,21000000000.0
BTG,Bitcoin Gold,Equihash,PoW,18704436.110885046,21000000.0
BTH,Bithereum,Equihash,PoW,30886000.0,0.0
BTM,Bytom,Tensority,PoW,1671650512.5,210000000.0
BTS,Bitshares,SHA-512,DPoS,2994902406.75156,3600570502.0
BTT,BitTorrent,TRC10,DPoS,989988505624.7954,-1.0
BURST,BurstCoin,Shabal256,PoC,2111830238.0,2158812800.0
CHAT,OpenChat,Scrypt,PoW/PoS,1000000000.0,-1.0
CKB,Nervos Network,Eaglesong,PoW,31785713001.16849,-1.0
CLO,Callisto Network,Ethash,PoW,2952872596.3815584,6500000000.0
CLOAK,CloakCoin,X13,PoW/PoS,5622438.0060624,-1.0
CMTC,CometCoin,Scrypt,PoW,872830.0,0.0
COVAL,Circuits of Value,Multiple,PoW,1776262218.3471327,-1.0
DAPS,DAPS Coin,Dagger, PoW/PoS/PoA,62319462900.0,70000000000.0
DASH,Dash,X11,PoW/PoSe,10094440.56994754,18900000.0
DCR,Decred,BLAKE256,PoW/PoS,12845308.22533775,21000000.0
DGB,DigiByte,Multiple,PoW,14239363749.23793,21000000000.0
DOGE,Dogecoin,Scrypt,PoW,129153536383.70369,-1.0
EMC,Emercoin,SHA-256,PoW/PoS,47306088.108945,-1.0
EMC2,Einsteinium,Scrypt,PoW,221531478.49999908,-1.0
EOS,EOS,DPoS,DPoS,1028904093.0401,-1.0
ETC,Ethereum Classic,Ethash,PoW,126409655.49249911,210700000.0
ETH,Ethereum,Ethash,PoW,115566148.999,-1.0
ETZ,EtherZero,Ethash,PoW,223146443.5,-1.0
EXP,Expanse,Ethash,PoW,34700351.97,100000000.0
FIRO,Firo,MTP,PoW,11779025.86002902,21400000.0
FTC,FeatherCoin,NeoScrypt,PoW,241658198.00773004,336000000.0
GRIN,Grin,C31,PoW,65994389.69399997,-1.0
GRS,Groestlcoin,Groestl,PoW,77390693.8873888,105000000.0
HC,HyperCash,BLAKE256,PoW/PoS,45071909.329052,84000000.0
HNS,Handshake,Blake2B + SHA3,PoW,374904306.450223,2040000000.0
ICX,ICON Project,Loopchain,PoS,885447966.2456076,-1.0
INT,INT,IMesh,DPoS+dBFT,500700816.2952117,1000000000.0
IOC,IOCoin,X11,PoW/PoS,18821971.47434563,22000000.0
KCASH,Kcash,SHA-512,Zero-Knowledge Proof,1000000000.0,-1.0
KMD,Komodo,Equihash,dPoW/PoW,127433255.91147529,200000000.0
LSK,Lisk,DPoS,DPoS,143777093.0,-1.0
LTC,Litecoin,Scrypt,PoW,67485308.23347135,84000000.0
MAPS,MAPS,SPL Token,PoH,75000000.0,10000000000.0
MEC,MegaCoin,Scrypt,PoW,39464361.86809969,42000000.0
MONA,MonaCoin,Scrypt,PoW,81409662.47157931,-1.0
MWC,MimbleWimbleCoin,C31,PoW,10724611.3569404,20000000.0
NANO,Nano,Blake2b,PoW,133248290.0,133248290.0
NAV,NavCoin,X13,PoW/PoS,71494223.4391518,-1.0
NLG,Gulden,Scrypt,PoW,534919274.36991316,1680000000.0
NMC,Namecoin,SHA-256,PoW,17444737.5,-1.0
NSR,NuShares,PoS,PoS,5856931771.0671,0.0
NVC,NovaCoin,Scrypt,PoW/PoS,3220117.374982,-1.0
NXS,Nexus,SHA3,PoW/nPoS,70333063.507154,78000000.0
NXT,Nxt,PoS,PoS/LPoS,998999927.9376907,1000000000.0
ONT,Ontology,VBFT,PoS,1000000000.0,-1.0
OXYC,Oxycoin,DPoS,DPoS,1122382283.37,-1.0
PIVX,Private Instant Verified Transaction,Quark,PoW/PoS,65835240.96207255,-1.0
POA,Poa Network,Proof-of-Authority,PoA,286822190.21147096,-1.0
POT,PotCoin,Scrypt,PoW/PoS,226095182.15612435,420000000.0
PST,Primas,Scrypt,PoW,100000000.0,-1.0
PURA,Pura,X11,PoW,188358976.83969808,-1.0
QRK,QuarkCoin,Quark,PoW/PoS,269148702.03298014,-1.0
QRL,Quantum Resistant Ledger,RandomX,PoW,73791381.76850128,105000000.0
QTUM,QTUM,POS 3.0,PoS,103337756.0,107822402.25
RDD,Reddcoin,Scrypt,PoW/PoS,30135229626.790512,-1.0
RISE,Rise,DPoS,PoS,176515603.41,-1.0
RVC,Ravencoin Classic,X16R,PoW,8547105000.0,21000000000.0
SAFEX,SafeExchangeCoin,Scrypt,PoC,2147483647.0,-1.0
SC,Siacoin,Blake2b,PoW,47562022992.0,-1.0
SHIFT,Shift,DPoS,DPoS,14811680.0,-1.0
SIB,SibCoin,X11GOST,PoW,19115907.94982024,21000000.0
SLS,SaluS,Scrypt,PoW/PoS,1032663.90924072,-1.0
SMART,SmartCash,KECCAK,PoW,2647792153.615352,5000000000.0
STEEM,Steem,PoS,PoW,379291763.959,-1.0
STRAX,Stratis,X13,PoS,130465808.0,-1.0
SYS,SysCoin,SHA-256,PoW,610756561.4564278,888000000.0
TENT,TENT,Equihash,mPoW,34596120.0,84096000.0
TPAY,TokenPay,POS 3.0,PoS,21880393.0,25000000.0
TRI,Triangles Coin,X13,PoW/PoS,177627.24257,0.0
UBQ,Ubiq,Dagger-Hashimoto,PoW,50690940.8539663,-1.0
UBTC,UnitedBitcoin,SHA-256,PoW,21000000.0,21000000.0
VEIL,VEIL,X16RT,PoW/PoS,108074855.26569952,300000000.0
VET,VeChain,VeChainThor Authority,Proof of Authority,85985041177.0,86712634466.0
VIA,ViaCoin,Scrypt,PoW,23173939.90280659,-1.0
VSYS,V Systems,SPoS,SPoS,5819125143.0,-1.0
VTC,Vertcoin,Lyra2REv2,PoW,59689548.81663466,84000000.0
WAVES,Waves,Leased POS,LPoS,104905060.0,-1.0
WBBC,Wibcoin,SHA-256,PoW,1000016730264.435,1000016730264.435
XCP,CounterParty,SHA-256,PoW,2615053.2051785,-1.0
XDN,DigitalNote,BMW512 / Echo512,PoW/PoS,5038250642.423337,-1.0
XDNA,XDNA,HEX,PoW/PoS,8830765.0,0.0
XHV,Haven Protocol,CryptoNight-Heavy,PoW,14928269.420743112,-1.0
XMR,Monero,RandomX,PoW,17892327.80260223,-1.0
XSN,Stakenet,X11,TPoS,119430703.86680388,-1.0
XVG,Verge,Multiple,PoW,16446705349.431252,16555000000.0
XWC,WhiteCoin,Scrypt,PoW/PoS,919996700.0,1000000000.0
ZEC,ZCash,Equihash,PoW,11015812.97848631,21000000.0
ZEL,Zelcash,Equihash,PoW/PoS,440000000.0,210000000.0
ZEN,Horizen,Equihash,PoW,10999537.5,21000000.0
